max_id,微博id,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容,评论者状态数,评论者粉籍,评论者粉丝属性
664856545919693,5063833880365228,1,5064042618554890,2024-08-05 16:08:28,5381,来自内蒙古,在我心里掌灯_,6101818059,女,70,1.7万,这两年您在其他平台多次演唱百万收藏大爆曲《光亮》戏腔不标明原曲甚至擅自改名成《定风波》，很难让人相信这只是一次无心之失。不过既然您已经认识到了错误，相信您也能知错就改以后不再犯，希望您约束好粉丝，停止对您喜爱的原唱歌手的人身攻击造谣辱骂,15889,,小鲸鱼
664856545919693,5063833880365228,1,5063834252871763,2024-08-05 02:20:30,6241,来自江西,喻盐小盐总,6426870094,女,159,694,宝宝你真的很棒，不要错怪自己！！！我们不欺负别人，但是也不能让你被欺负，永远爱你@陈丽君_点绛唇,2367,loyal_fans,ESFP
664856545919693,5063833880365228,1,5063834022707959,2024-08-05 02:19:35,11883,来自福建,大土豆你个破忒头_,6761369485,女,346,1.1万,宝宝唱的真好 快点休息,6149,loyal_fans,铁粉专属
664856545919693,5063833880365228,1,5063834232684660,2024-08-05 02:20:24,2624,来自广东,楠山涵海,5197493377,女,1039,241,君君你没有错骂你的人有错！！！,11085,loyal_fans,金粉专属
664856545919693,5063833880365228,1,5063848188968999,2024-08-05 03:15:52,2709,来自重庆,周深王菲邓丽君周迅胡歌都是我的,2162526461,女,542,4918,原来不是不知道啊，理解你想红的心，但是请尊重原唱尊重版权，多少也有点知名度了，维护版权的意识得有，还有请管理好自己粉丝，不要到处造谣辱骂无辜歌手先给他们科普一下什么是越剧什么是京剧吧,20271,,默默吃瓜
664856545919693,5063833880365228,1,5063834513703809,2024-08-05 02:21:32,2643,来自浙江,重生之逆天邪龙王,5829784070,女,922,1.3万,早点休息宝你一点错没有知道吗,11260,loyal_fans,铁粉专属
664856545919693,5063833880365228,1,5063841434306226,2024-08-05 02:49:02,4162,来自江苏,纯文学叻_,7859365530,女,558,1417,终于等来了迟来两年的道歉文艺工作者的底线是尊重原创和版权，引导粉丝向真善美，而不是假恶丑既然陈女士已经意识到自己的错误，那么请约束好自己的粉丝，停止人身攻击和网暴受害者从艺先从德，好自为之,7340,,线条小狗普通款
664856545919693,5063833880365228,1,5064073559933091,2024-08-05 18:11:24,955,来自山东,温柔·有牙齿,7493303375,女,486,8148,你怎么不让你粉丝慎言？,21855,,默认
664856545919693,5063833880365228,1,5063833976047058,2024-08-05 02:19:24,9871,来自湖北,不想穿校裤,7444504753,女,419,2138,宝宝你超棒的！,8776,loyal_fans,美乐蒂普通款
664856545919693,5063833880365228,1,5063833952191436,2024-08-05 02:19:18,9037,来自陕西,搅碎一池星月--,7767636727,女,118,80,宝宝。你是最棒的,654,loyal_fans,狐妖小红娘月红篇
664856545919693,5063833880365228,1,5063838871584972,2024-08-05 02:38:50,4321,来自广东,Gillian立gei,5355738926,女,301,4.3万,早这样不就行了，使用作品不标注原曲，还更改作品名称，以后注意吧姐姐，也请让你们粉丝不要再发疯了谢谢,13065,,三团春日游园普通款
664856545919693,5063833880365228,1,5063834498761116,2024-08-05 02:21:29,2731,来自广东,从此不敢看月亮,6195983040,男,337,9134,宝宝你真好,5705,loyal_fans,金粉专属
664856545919693,5063833880365228,1,5064074071900330,2024-08-05 18:13:26,892,来自山东,乌鸦为什么爱听反深代词,7518860581,女,386,1.6万,@陈丽君_点绛唇 那也请您回应一下这些问题吧。1️⃣名为定风波实则使用《光亮》片段的音源是怎么回事请解释一下；2️⃣为什么你粉丝屡次表示光亮这首歌就叫定风波，原唱是谁不重要不在乎并且声称你就是原唱；3️⃣你粉丝发表的让别人去当军女支去卖的言论也请你看看。女艺人的粉丝就是这么爱女的？,20372,,默认
664856545919693,5063833880365228,1,5063837883565539,2024-08-05 02:34:56,4752,来自贵州,反深代词_蝴蝶希,1821274354,女,495,6088,优秀的歌曲欢迎他人的翻唱，只是作为文艺工作者必定是要有版权意识的，这是创作者的心血，您在过去的两年里多次翻唱《光亮》却都没有标注原曲或者词曲作者，还是有必要提高相关意识。祝好～,45854,,小鲸鱼
664856545919693,5063833880365228,1,5063834012222504,2024-08-05 02:19:33,8690,来自江苏,漠然-淡然,7007259210,女,161,60,啊仙君你来了早点休息辛苦了,507,loyal_fans,铁粉专属
664856545919693,5063833880365228,1,5063834207520308,2024-08-05 02:20:19,6310,来自浙江,那就喝杯热水吧,6898647717,女,4491,1.6万,不是你的错，天天开心，晚安,5257,loyal_fans,喜羊羊2.0普通款
664856545919693,5063833880365228,1,5063834853180614,2024-08-05 02:22:53,4851,来自江苏,Titanic_凌云DOLE,1967157407,女,1543,589,无妄之灾还要亲自出来解释辛苦了宝宝你是最棒哒,20166,loyal_fans,铁粉专属
664856545919693,5063833880365228,1,5063834068846190,2024-08-05 02:19:46,6799,来自福建,芋泥瓜瓜__,5624240806,女,158,235,宝宝！！你超棒！！！,2289,loyal_fans,金粉专属
